CustomerID,SalesPersonID,SaleDate
1404,30,8/25/2022
1338,21,12/23/2023
590,3,5/1/2023
794,33,2/13/2024
386,1,12/14/2024
994,47,4/25/2024
896,47,8/22/2024
262,40,6/23/2024
922,21,10/28/2023
1496,13,12/8/2022
1372,1,3/30/2022
1082,16,3/5/2024
222,37,3/23/2023
875,31,1/13/2022
1476,50,2/11/2023
1190,18,9/23/2022
928,9,4/6/2022
51,35,2/12/2024
1076,47,1/16/2024
189,21,6/16/2023
340,26,9/19/2022
1449,20,8/5/2023
1160,18,10/9/2023
1069,26,12/13/2022
1187,3,4/27/2024
1330,25,4/22/2024
254,24,9/15/2023
415,29,2/21/2022
1363,19,11/14/2024
332,39,2/23/2022
471,39,9/1/2023
661,12,2/8/2023
875,23,6/20/2023
1471,9,5/17/2023
661,43,9/4/2023
700,26,6/5/2024
632,16,4/29/2024
1344,43,10/17/2022
895,27,9/30/2023
396,19,9/4/2024
256,35,9/12/2023
657,38,10/29/2022
1252,2,6/17/2022
1131,28,1/21/2022
225,22,2/11/2022
876,35,7/15/2022
1347,14,3/28/2024
1196,28,8/16/2024
571,8,2/12/2023
1421,48,10/3/2022
803,16,5/13/2024
1228,3,9/3/2024
1379,12,4/18/2022
1179,31,10/1/2023
820,34,2/19/2022
741,23,8/11/2022
603,18,6/21/2024
896,12,5/8/2023
483,22,9/11/2024
594,32,5/7/2023
1024,10,6/24/2022
1444,18,5/9/2024
316,48,6/9/2024
734,49,11/9/2023
732,19,2/3/2024
708,42,7/12/2023
21,40,5/24/2024
66,1,7/16/2024
846,3,12/12/2022
1473,24,5/12/2024
657,29,12/23/2022
128,28,2/11/2024
792,22,7/5/2022
634,39,5/10/2022
948,49,6/29/2023
235,1,7/8/2024
528,7,12/31/2022
446,14,4/21/2022
627,27,2/20/2023
925,49,2/14/2024
1309,12,11/28/2023
556,46,5/31/2022
403,11,7/14/2024
794,22,6/22/2024
809,11,11/28/2023
449,35,10/14/2022
48,8,6/30/2023
823,19,9/4/2023
495,47,7/8/2024
518,20,4/11/2023
231,4,3/30/2024
95,6,8/7/2024
1235,49,10/13/2023
612,32,8/16/2024
877,24,5/1/2024
720,28,8/26/2023
1003,9,7/23/2023
290,49,12/22/2022
305,30,2/25/2023
1453,41,6/26/2023
125,48,7/28/2024
580,18,7/6/2024
307,10,4/23/2023
25,29,6/26/2023
928,31,8/26/2023
1275,15,10/20/2023
249,1,10/31/2024
620,50,7/19/2024
646,26,8/27/2024
629,22,1/18/2024
832,45,2/5/2023
779,43,10/13/2023
