SalesID,CarID,SellPrice
59,537,41049.7
57,1813,24636.39
756,2101,26484.75
626,959,32358.33
348,1311,39207.3
330,686,38446.06
65,2140,20435.18
735,2185,47885.77
319,1584,25841.76
260,1013,33755.19
258,2310,44524.7
627,308,36675.8
265,264,32262.7
380,501,50841.3
394,2435,22657.44
436,1078,36735.19
252,1734,30707.87
316,2445,19139.87
360,2458,38511.78
686,77,47876.34
514,804,39207.45
623,2347,45075.74
12,1467,36743.35
169,2186,47700.27
488,93,20193.39
12,211,18167.81
255,1536,22266.66
357,1931,21745.4
239,1722,12533.78
202,629,22155.97
685,84,43105.87
160,2160,32823.76
460,562,52923.28
144,2104,43116.52
413,1242,40360.44
206,1075,39053.11
131,1851,28212.63
43,2329,16609.95
553,1355,32839.83
305,1276,29136.36
181,1103,38752.75
535,540,29321.01
534,1333,28700.15
700,1745,34176.62
777,249,21706.93
596,2261,44240.22
693,581,24236.55
658,218,26019.14
660,2192,21017.33
302,1757,34500.08
417,2296,23990.56
155,50,23584.07
266,1699,22802.63
392,1247,26391.46
777,1583,29724.08
612,1245,18692.96
226,1958,36656.19
394,1073,40459.07
799,1520,39023.14
122,515,51560.39
621,2436,27721.26
267,881,52279.94
389,894,50925.65
463,1549,45434.85
14,1130,26579.02
391,392,37108.94
481,2288,48547.95
768,574,43602.46
303,2483,33562.4
208,1959,27180.21
216,829,31004.74
348,2018,29086.72
582,1964,28317.44
155,1896,35677.41
38,2440,22504.68
386,2249,40875.74
392,1899,45850.83
479,46,44481.95
486,3,23314.5
342,276,36144.71
26,1982,33242.17
272,1117,45953.32
5,19,37879.87
551,2341,38494.93
525,2136,45446.82
248,45,30151
613,2217,42898.66
332,559,31039.83
434,989,35027.2
532,191,29857.92
498,2117,31932.05
406,1630,19322.79
367,1109,33978.52
253,2190,47959.18
182,2149,34246.97
656,2455,31173.91
295,384,44251.78
137,254,22213.62
709,252,38381.02
243,519,26464.96
498,184,18252.69
269,2243,19951.66
583,2095,32034.06
514,465,31742.83
170,938,44253.36
404,1612,47894.21
327,803,33254
226,1446,29819.96
585,131,42138.01
392,676,24289.83
201,1422,16335.72
796,1228,32713.91
552,427,19838.81
503,2088,42479.08
324,1740,37134.9
788,2236,42667.53
612,1007,40141.02
609,2454,32739.91
435,2386,26620.57
26,2472,29780.84
26,2196,24805.75
107,1122,48993.39
