ModelID,CarName,VIN,PurchasePrice,ListPrice
15,2023 Chevrolet Equinox Sport,4USFWXGVVPGNMZJQC,43193.63,49415.85
49,2024 Chevrolet Trailblazer,14C53RSCER4H0GOKU,21045.08,27337.3
173,2023 Ford Bronco SE,IYQ7GPV1PNCM7ATK0,19606.13,25879.5
133,2023 Ford Explorer,7WPHZF6PO4S9HAYW9,41365.6,49842.05
162,2021 Ford Expedition Limited,GE1ROGMXGJ8BLH7CP,30849.27,33337.26
109,2017 Toyota Sienna,VFN4XDFEM1RBHEJJM,38287.13,44163.34
150,2016 Ford Edge Limited,4AE1E89877ZOQOKH5,34029.62,42898.29
58,2016 Chevrolet Suburban Hybrid,HD0MMHN50K2RE2YDX,38620.39,42198.71
47,2020 Chevrolet Blazer SE,LNYG5ON009RKZGTJT,18728.85,20055.57
85,2020 Toyota Tundra,3A5VX14EYV836PBTZ,28315.39,31065.92
70,2023 Toyota Camry Hybrid,84VC58WDLRKJ8UXVX,22283.24,26995.74
143,2022 Ford Mustang SE,5ZGX4Q3DQ8KC6HRT9,38388.68,47380.08
22,2017 Chevrolet Camaro Hybrid,SIIGYMKYHHU3WXA09,40478.77,48045.43
169,2018 Ford Bronco,DEXDVYUBLRATSLD84,23555.12,30774.11
20,2017 Chevrolet Camaro XL,H9PNEZ9CKL83YBO8Z,26897.41,29115.22
23,2022 Chevrolet Camaro SE,5I4P0SL8P293XZ92H,19236.52,20109.46
87,2019 Toyota Tundra Sport,NZSTSQVEMV5F4XWOD,26080.86,32936.2
19,2023 Chevrolet Camaro,N89X8DIWJJPS3MARE,19918.27,28503.14
125,2019 Ford F-150 SE,4LK8T2F5U8NB94NCF,40338.42,44598.05
163,2016 Ford Fusion,DEZ5CDUUK8UK861QK,36054.46,45479.97
114,2017 Toyota Sienna Limited,ZGORGHIKF6QWFYTPL,32988.17,42296.33
41,2024 Chevrolet Impala SE,3MYH8DW1F4PIZ3MSH,34076.11,37691.45
115,2018 Toyota Sequoia,5RR99V4K5GRE3QJU5,43581.51,51773.77
97,2023 Toyota Prius,MPRP8VXA9WBP5XN48,36981.75,46356.24
166,2016 Ford Fusion Hybrid,I06QSDMJWCCB7TX8L,35438.84,45127.5
89,2021 Toyota Tundra SE,FN3C6L65BSXY0H44Q,42007.18,48543.42
136,2017 Ford Explorer Hybrid,8WR5UU08U5P6QT73F,30854.09,35332.45
79,2018 Toyota Tacoma,IXATZMP7SSYAK8PB4,41005.26,42938.31
17,2021 Chevrolet Equinox SE,JN38OW4UKCTPRCNY7,28636.42,34245.05
16,2022 Chevrolet Equinox Hybrid,31YN79H2KNI74UG8P,33501.54,37265.45
96,2023 Toyota Highlander Limited,59THSITKMQFCQONBS,35629.73,41796.82
163,2022 Ford Fusion,H230M9388C5176RTO,26590.16,27146.94
1,2015 Chevrolet Silverado,9GBV8MRFUXSZBFFJW,19438.74,27535.85
4,2017 Chevrolet Silverado Hybrid,9YQBTH2PDYPYJXF8I,40643.08,47299.8
97,2015 Toyota Prius,2HWMCHQ6KUQB63SLN,22902.05,31280.29
101,2016 Toyota Prius SE,1AFS3LATJS2EAMHX0,29082.78,37694.14
2,2024 Chevrolet Silverado XL,2763Z72VK79MDKE1H,31527.3,38159.19
171,2018 Ford Bronco Sport,33IKEEZT6ITZ9MP77,16215.53,18070.7
51,2019 Chevrolet Trailblazer Sport,OLRBDP7AYF8W65JKD,40938.22,46840.12
124,2016 Ford F-150 Hybrid,JMNV11FJQLX0C1VHJ,24843.28,27312.63
98,2015 Toyota Prius XL,2P0YCZ1F9NZQQ8Y94,26056.29,32005.97
1,2017 Chevrolet Silverado,MRMMVMDAUHGGDRF7T,15489.08,17355.49
