MakeID,ModelName
3,Expedition Hybrid
1,Tahoe SE
3,Bronco Hybrid
3,Escape SE
1,Trailblazer
2,RAV4 Limited
2,Tacoma Hybrid
2,Sequoia Hybrid
2,Highlander Limited
2,Tacoma Sport
3,Expedition SE
1,Malibu SE
1,Malibu Limited
2,Tacoma Limited
1,Tahoe
2,Tundra Hybrid
2,Sienna Limited
2,Tacoma
2,Sienna SE
3,Bronco XL
3,Explorer Hybrid
3,Fusion SE
2,Corolla Hybrid
3,Escape Hybrid
1,Equinox Hybrid
3,Edge
3,Explorer XL
1,Blazer XL
3,Mustang
1,Suburban XL
1,Malibu XL
3,F-150 Limited
2,Prius SE
3,Bronco
3,Mustang Hybrid
1,Impala
1,Malibu
3,Ranger XL
2,RAV4
2,Sienna Hybrid
2,Sequoia XL
1,Traverse Sport
2,Prius Sport
1,Trailblazer Sport
1,Blazer SE
3,Mustang Limited
2,Sequoia Sport
2,Sequoia
1,Tahoe Sport
3,Ranger Sport
1,Trailblazer XL
1,Impala XL
3,Ranger
3,Fusion XL
3,F-150 SE
1,Camaro Sport
1,Blazer
2,Prius Limited
2,Corolla XL
2,4Runner
3,Expedition Sport
1,Blazer Limited
3,Ranger SE
3,Escape
1,Malibu Sport
2,Prius Hybrid
2,Prius
2,Highlander SE
2,4Runner Hybrid
2,RAV4 SE
2,Tacoma XL
3,Escape Limited
1,Suburban Limited
2,Tundra XL
2,Tundra
2,Highlander
2,Corolla SE
3,Ranger Hybrid
2,Sequoia Limited
1,Suburban
2,Sienna Sport
1,Equinox Limited
3,Explorer Sport
2,Highlander Sport
3,Bronco Limited
1,Traverse SE
1,Equinox XL
2,Tundra Limited
2,4Runner SE
3,Explorer SE
3,Ranger Limited
3,Mustang SE
3,Maverick SE
1,Impala Hybrid
2,Corolla Limited
3,Fusion Limited
2,Highlander Hybrid
1,Equinox Sport
2,Tundra SE
2,Prius XL
3,Fusion Sport
1,Camaro SE
2,RAV4 XL
3,F-150 Hybrid
3,Edge Sport
1,Blazer Sport
3,Fusion Hybrid
1,Trailblazer Hybrid
2,Highlander XL
2,Corolla Sport
3,Maverick Limited
3,Bronco SE
1,Silverado Limited
1,Impala Sport
1,Traverse Hybrid
2,Sienna XL
3,Escape XL
2,Camry XL
1,Suburban Hybrid
1,Camaro XL
2,RAV4 Hybrid
3,Expedition Limited
3,Expedition
1,Camaro Hybrid
3,Maverick XL
3,F-150
3,F-150 Sport
2,Sienna
1,Silverado SE
3,Fusion
1,Trailblazer Limited
3,Maverick
1,Camaro Limited
3,Edge Limited
2,Camry Sport
2,4Runner XL
1,Tahoe XL
2,Camry
1,Tahoe Hybrid
2,RAV4 Sport
2,Camry Limited
3,Expedition XL
2,Tacoma SE
3,Edge Hybrid
1,Silverado Hybrid
2,Camry Hybrid
2,4Runner Sport
1,Traverse Limited
2,Corolla
3,F-150 XL
3,Edge SE
3,Maverick Sport
1,Suburban Sport
1,Silverado
3,Edge XL
1,Equinox
1,Impala Limited
2,Tundra Sport
3,Maverick Hybrid
1,Silverado XL
1,Traverse
1,Silverado Sport
1,Tahoe Limited
1,Blazer Hybrid
2,Sequoia SE
3,Mustang Sport
1,Suburban SE
3,Explorer Limited
3,Explorer
3,Mustang XL
1,Impala SE
2,4Runner Limited
1,Traverse XL
3,Bronco Sport
1,Trailblazer SE
1,Equinox SE
1,Malibu Hybrid
1,Camaro
2,Camry SE
3,Escape Sport
