SalesID,CarID,SellPrice
59,537,35356.97
57,1813,22977.83
756,2101,23434.62
626,959,30458.98
348,1311,33467.08
330,686,35920.45
65,2140,20435.18
735,2185,42126.29
319,1584,21832.96
260,1013,30604.45
258,2310,38650.96
627,308,34465.83
265,264,27247
380,501,43494.62
394,2435,20346.42
436,1078,30626.64
252,1734,30707.87
316,2445,17792.81
360,2458,35987.77
686,77,41614.42
514,804,36797.16
623,2347,37880.15
12,1467,33822.87
169,2186,40053.22
488,93,19194.6
12,211,18167.81
255,1536,21605.59
357,1931,20607.45
239,1722,12533.78
202,629,18620.99
685,84,40807.06
160,2160,32823.76
460,562,44696.36
144,2104,35937.2
413,1242,36766.29
206,1075,36684.74
131,1851,24446.27
43,2329,15659.84
553,1355,32839.83
305,1276,26262.92
181,1103,34376.81
535,540,29321.01
534,1333,26833.41
700,1745,30579.68
777,249,18730.41
596,2261,37140.24
693,581,24236.55
658,218,26019.14
660,2192,17608.21
302,1757,30152.12
417,2296,20159.66
155,50,20696.49
266,1699,20170.7
392,1247,22040.45
777,1583,27265.94
612,1245,16477.62
226,1958,32148.91
394,1073,37189.77
799,1520,32959.31
122,515,43644.49
621,2436,25538.75
267,881,44913.97
389,894,43841.95
463,1549,43907.16
14,1130,24025.32
391,392,32066.12
481,2288,44279.66
768,574,39256.11
303,2483,33562.4
208,1959,23211.66
216,829,31004.74
348,2018,24839.84
582,1964,24744.3
155,1896,30794.67
38,2440,20793.96
386,2249,39041.61
392,1899,38693.17
479,46,38291.47
486,3,19606.13
342,276,33360.14
26,1982,28623.89
272,1117,40776.71
5,19,37879.87
551,2341,32748.09
525,2136,39411.39
248,45,28590.71
613,2217,36928.43
332,559,28083.9
434,989,30149.4
532,191,27538.79
498,2117,29944.09
406,1630,17242.07
367,1109,33978.52
253,2190,42266.54
182,2149,28607.15
656,2455,26709.88
295,384,38389.66
137,254,18884.53
709,252,35206.16
243,519,22219.72
498,184,16477.44
269,2243,17715.16
583,2095,27032.03
514,465,29554.15
170,938,42485.87
404,1612,41770.69
327,803,31626.92
226,1446,27450.92
585,131,35361.89
392,676,21176.61
201,1422,15436.82
796,1228,31557.75
552,427,16778.88
503,2088,36917.94
324,1740,34267.94
788,2236,39259.7
612,1007,35592.38
609,2454,28455.94
435,2386,24218.37
26,2472,25953.23
26,2196,24060.41
107,1122,40935.13
269,892,17223.65
76,1398,35652.36
508,1115,23518.54
345,807,33690.8
258,662,38804.66
3,760,38077.2
720,1718,16656.21
91,873,44664.27
446,1124,28276.18
794,771,44255.06
466,536,32912.56
580,991,37195.35
353,459,22508.99
733,1976,16372.83
557,65,35011.18
95,2207,17066.35
228,917,22051.94
514,2178,25274.48
500,1169,27320.51
430,2020,37323.59
747,2093,30170.83
659,2334,40652.65
165,370,22436.88
378,2131,21395.24
706,1812,35729.96
129,1326,31622.09
596,2165,36024.97
542,1284,28122.8
218,2201,24938.82
723,1842,17626.84
478,1876,44002.43
680,1203,38863.55
682,1941,41370.27
466,1646,29821.96
255,866,36765.21
470,2423,19918.51
481,1662,25369.77
735,1668,38201.98
337,2221,32707.85
262,1914,17236.71
97,1619,17452.46
368,1616,36199.12
436,773,25808.68
749,756,18324.87
36,1886,33097.52
237,1735,40476.86
258,492,37762.35
29,2444,16937.99
621,1675,35025.03
743,53,42228.4
245,1285,15791.02
300,677,23717.66
31,1809,25670.41
754,1116,17428.93
73,1365,18915.52
183,547,32199.28
551,2017,29680.9
242,548,40000.69
53,2269,26269.19
694,202,25446.48
375,2011,17667.71
143,391,18451.41
467,375,44650.86
564,2195,30015.32
400,1101,43508.46
448,1444,20454.18
166,1015,32142.16
298,928,34356.4
488,567,29164.47
107,154,26772.29
303,1402,34854.72
425,656,35323.25
754,280,24427.1
374,1672,32504.66
546,1595,22229.03
3,155,34117.68
127,569,35092.32
439,1919,31211.37
184,2457,33666.71
404,60,42776.74
358,891,25471.15
776,1860,29327.76
669,2036,30671.96
272,149,24762.38
73,864,20631.4
668,1936,39603.81
799,2339,19359.52
239,1623,31055.91
280,1932,30287.85
512,1011,23335.61
311,234,21988.84
432,1979,18212.53
290,642,38997.8
193,121,22307.62
171,1947,43317.13
556,187,43964.21
702,2364,26789.47
180,1383,41298.93
435,2026,43618.77
428,1719,37591.81
794,2275,22713.23
280,1354,35051.12
409,2161,37986.51
726,2429,17817.41
129,47,38413.28
655,499,38834.57
664,753,42428.19
19,1729,16803.93
517,313,21193.11
623,1694,25501.73
685,1889,42529.67
257,244,39049.7
522,2304,43232.63
190,2135,30854.49
88,435,15072.94
498,2145,26277.98
775,736,30690.89
51,1028,18399.58
177,1905,26707.86
144,1835,29076.16
138,965,24956.35
222,1396,38474.65
48,1267,15598.05
180,119,19754.13
381,711,26066.06
529,1131,36500.19
554,2448,20238.25
267,1476,17738.01
317,658,37633.24
45,1360,20507.4
278,1409,28246.39
590,2231,16224.57
487,633,26649.21
134,1893,15382.78
299,2315,43744.87
581,2443,39135.6
791,1137,20590.72
569,1611,24744.84
603,1020,34429.57
200,1210,29692.34
380,1371,22218.19
124,565,33817.91
686,22,34076.11
419,1462,31678.27
500,1551,42444.45
494,2077,40809.16
113,1918,34313.63
506,1837,23310.1
772,1645,42686.22
283,855,42357.82
553,268,24902.83
610,1825,42227.04
380,102,27243.88
97,1481,16227.84
690,1331,39309.86
429,742,15636.23
410,2257,40957.07
741,61,33431.03
393,837,36838.99
241,1209,24913.86
457,1294,24556
56,2264,30947.15
699,2210,28228.53
479,1687,18507.49
588,1897,43760.92
19,94,41867.37
607,1848,29252.27
335,2471,16637.55
47,442,39118.71
307,778,22906.05
193,526,25227.27
159,120,40613.61
276,1357,30318.68
675,2028,32138.5
383,785,29277.39
298,872,30113.87
386,818,32157.74
564,2353,20540.51
125,2331,31971.26
102,372,27504.18
556,1568,35294.41
769,621,17867.45
718,512,44810.4
58,767,38362.13
528,172,28524.25
128,1163,27368.27
457,2174,15604.66
277,1014,35809
190,772,21060.45
528,2301,22443.6
724,1408,29507.89
232,1599,26547.64
517,1552,42742.47
50,2397,30939.95
186,15,26897.41
95,1158,28910.04
709,16,16549.51
127,2153,41959.97
618,2052,31359.58
120,1939,42341.09
18,1923,41283.55
571,1107,35700.47
120,169,42902.64
591,2474,36014.62
721,500,25623.08
686,2344,25854.44
598,694,39901.45
512,2000,21066.68
2,805,35625.19
425,1502,24147.97
151,52,44140.99
590,185,42566.37
174,1132,36410.44
572,1635,22005.22
512,1866,21988.03
479,1688,35295.56
630,2272,26789.54
1,387,25829.79
190,1506,31707.36
418,1164,26823.24
655,1501,19955.25
507,1805,17329.69
338,769,28059.96
539,1771,20531.4
492,932,42748.92
12,1450,39231.41
156,471,43772.41
332,607,34352.59
767,2006,20862.59
437,638,41826.38
280,468,43800.6
279,2306,21507.38
317,1447,29710
444,1990,36710.64
783,1945,26235.3
58,269,39712.29
605,1921,14378.48
113,1283,19693.27
541,416,27588.45
361,2147,20327.51
221,1836,17010.48
468,1105,26378.14
770,1205,42471.68
379,2083,42251.09
563,374,36913.07
450,1730,24192.54
700,744,17416.91
500,292,30395.21
336,601,38877.65
402,681,33271.71
172,2291,29782.19
143,939,36315.37
620,926,30263.4
549,1618,32486.41
587,1991,26738.71
105,580,42437.19
359,469,34046.8
81,1315,24979.05
436,1810,28509.12
386,2363,37917.69
175,115,18883.55
269,1559,41912.21
465,301,17205.31
680,168,35890.44
342,606,35106.35
475,127,25905.43
82,534,13457.39
503,914,39386.87
694,2338,22773.14
479,679,40371.7
541,1037,31608.61
276,1440,39552.84
102,38,16215.53
386,2218,21617.18
140,1041,37342.92
176,1071,37603.86
84,2361,35572.83
475,275,35234.55
788,1146,39488.93
78,2456,43373.18
245,2370,27341.31
39,1016,24149.64
521,743,31928.81
686,1287,39318.06
757,1807,16181.03
420,345,15083.31
266,890,38623.34
224,1541,25882.61
185,1486,21708.83
33,1029,37721.07
630,382,26319.83
328,1415,22155.97
564,290,31464.23
532,331,27208.47
57,812,34630.4
555,900,36271.42
686,2433,40264.84
202,2401,31320.4
439,99,13627.43
104,81,36852.62
208,1995,38575.55
83,2084,42225.03
308,2320,34187.75
383,790,41762.32
194,1577,22910.59
565,36,28195.24
403,1196,34097.99
209,2415,24030.38
165,1329,19628.55
772,320,43968.47
667,795,37046.27
748,357,27379.45
752,1779,24201.16
